i,x,y,q
2,612.1759509,494.3166877,1
3,38.13123382,353.1484582,1
4,53.44180811,131.4849014,1
5,143.0606355,631.7200954,1
6,689.9451267,468.5354999,1
7,112.7478816,529.4177578,1
8,141.4875865,504.8184856,1
9,661.0513902,445.9375182,1
10,98.78990366,384.5926031,1
11,697.3881697,180.3962284,1
12,536.489419,287.2279085,1
13,192.4067321,20.43940593,1
14,282.7865259,229.8001556,1
15,240.8251726,281.5141437,1
16,246.9281323,322.4613321,1
17,649.7313216,62.33315753,1
18,352.9658563,666.7873102,1
19,633.3923677,534.9398454,1
20,488.3117994,437.486944,1
21,141.4039287,228.4325551,1
22,17.36326126,240.2407069,1
23,397.5586451,231.3591209,1
24,565.7853781,282.3858749,1
25,475.8975387,468.5392706,1
26,322.4224567,550.3165478,1
27,397.5586634,74.75883878,1
28,672.8618339,432.882641,1
29,571.218968,530.2616992,1
30,104.6531166,482.8224769,1
31,356.7098389,67.64771317,1
32,400.4070256,253.679448,1
33,282.3036243,426.8380501,1
34,58.77669884,507.1712387,1
35,189.7506224,460.3815234,1
36,659.912412,226.6284156,1
37,639.0307636,467.2302301,1
38,415.0258357,233.3045376,1
39,547.2662016,161.6589278,1
40,616.6547903,339.3409309,1
41,494.8592427,148.1217856,1
42,629.9980812,433.4548164,1
43,471.1014312,314.2219308,1
44,138.2440514,137.167992,1
45,91.58475567,110.0203008,1
46,390.6972812,423.9774318,1
47,565.1617825,429.1598153,1
48,54.52489804,438.5515408,1
49,334.350833,153.7969238,1
50,531.0291025,612.3874828,1
51,475.7345906,385.7844619,1
52,228.8325219,410.446194,1
53,578.3805348,321.3303495,1
54,358.9170574,404.4670353,1
55,486.4648555,593.0429937,1
56,343.1693708,509.3123571,1
57,530.3626972,137.6881276,1
58,498.8065475,576.2102675,1
59,224.3182716,312.467749,1
60,595.8360733,81.81300514,1
61,661.5588724,217.0456944,1
62,43.68920455,305.4722789,1
63,79.46534525,445.9641738,1
64,210.4163247,130.7151137,1
65,432.2642292,629.4092661,1
66,623.2487161,69.18928508,1
67,436.519474,282.9356456,1
68,59.41632655,40.12802344,1
69,630.9230074,230.3429888,1
70,579.326554,601.0359411,1
71,117.8624507,112.9796834,1
72,297.7912566,166.3131887,1
73,22.76427037,455.5340094,1
74,259.709581,10.61999259,1
75,342.3579874,599.3880183,1
76,10.02609501,488.9310558,1
77,315.2926064,273.2275476,1
78,220.7044919,270.0819746,1
79,192.118606,314.1839923,1
80,271.5042719,225.292199,1
81,530.7320005,504.0670155,1
82,42.53314417,656.3645163,1
83,396.1274793,539.4648066,1
84,118.6631474,508.7129104,1
85,395.6913877,699.5376048,1
86,559.0157106,560.8866941,1
87,22.64710359,526.2470393,1
88,135.6377085,325.8409902,1
89,141.4507014,485.2477928,1
90,396.7741299,460.7557115,1
91,87.74945628,19.61701291,1
92,350.424564,420.6531187,1
93,216.7010817,466.4816411,1
94,130.9237737,351.1491733,1
95,72.63298567,645.7852219,1
96,144.600295,457.4224284,1
97,212.3725077,594.9216893,1
98,49.91867865,541.4350825,1
99,656.6943526,558.1109594,1
100,176.5941624,648.5239953,1
101,500.38252,198.7428378,1
102,634.3178678,612.8291643,1
103,59.75373727,551.6321887,1
104,15.21457651,143.0441929,1
105,283.0054379,376.443953,1
106,146.5389001,39.42317943,1
107,101.8685605,635.098685,1
108,588.1968537,580.5946977,1
109,457.2628633,350.0164047,1
110,537.466368,472.5842277,1
111,269.3669099,367.4763637,1
112,239.9045384,102.6297653,1
113,88.46775004,384.0507209,1
114,658.9133693,583.9575181,1
115,97.73591463,157.4558658,1
116,506.6191384,233.0022156,1
117,500.2566898,64.91363935,1
118,594.4048565,275.8741869,1
119,66.23081466,24.13173876,1
120,598.4162994,414.5557574,1
121,172.3088331,344.3963466,1
122,299.4812852,251.8295121,1
123,303.8379895,21.05260638,1
124,197.896927,512.3888961,1
125,56.01995677,243.0663818,1
126,255.5566183,448.8651882,1
127,608.4256112,222.5421309,1
128,70.27227033,77.92270264,1
129,398.2299,119.5576574,1
130,635.4970237,133.3225903,1
131,378.3484559,272.2907677,1
132,484.8029663,677.0730379,1
133,278.8710883,299.9308771,1
134,381.6537301,360.3337603,1
135,557.6070708,595.3185092,1
136,249.0589749,76.65951126,1
137,562.9048788,670.0382113,1
138,398.5504366,392.6493259,1
139,590.8939721,370.7414914,1
140,558.2008004,0.419881451,1
141,461.4114714,530.5254969,1
142,354.7242882,685.4045362,1
143,193.6611296,669.7432521,1
144,352.3140807,140.3273324,1
145,308.434571,115.205427,1
146,299.588137,530.5889619,1
147,334.2748764,152.1494569,1
148,690.9658586,134.5793307,1
149,48.07981241,270.9680674,1
150,91.64676477,166.3541158,1
